Number,Theme,Subtheme,Year,Set name,Minifigs,Pieces,RRP (GBP),RRP (USD),RRP (CAD),RRP (EUR),EAN,UPC,Width,Height,Depth,Weight,Notes,Qty owned,Qty owned new,Qty owned used,Wanted,Qty wanted,Priority,,,,,,,,,Value new (USD),Value used (USD),Launch date,Exit date
"CC93LBC8-1","Gear","Trading Cards",1993,"Card Solar Snooper - Lego Builders Club",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"CC93LBC9-1","Gear","Trading Cards",1993,"Card Deep Freeze Defender - Lego Builders Club",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10282-2","Icons","Adidas",2021,"Adidas Originals Superstar X Footshop 'Blueprinting'",,,79.99,79.99,109.99,89.99,5702016914030,,32.2,11.2,19.7,,"",0,0,0,,0,0,,,,,,,,,,,"01/07/2021","31/12/2022"
"BK01WIN1987-1","Books","Brick Kicks",1987,"BRICK KICKS Issue No. 1",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK02SPR1988-1","Books","Brick Kicks",1988,"BRICK KICKS Issue No. 2",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK03SUM1988-1","Books","Brick Kicks",1988,"BRICK KICKS Issue No. 3",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK04SUM1988-1","Books","Brick Kicks",1988,"BRICK KICKS Issue No. 4",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK05FAL1988-1","Books","Brick Kicks",1988,"BRICK KICKS Fall 1988 Issue",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK06WIN1988-1","Books","Brick Kicks",1988,"BRICK KICKS Winter '88 - '89",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK07SPR1989-1","Books","Brick Kicks",1989,"BRICK KICKS Spring '89",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK08SUM1989-1","Books","Brick Kicks",1989,"BRICK KICKS Summer '89",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK09FAL1989-1","Books","Brick Kicks",1989,"BRICK KICKS Fall '89",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK10WIN1989-1","Books","Brick Kicks",1989,"BRICK KICKS Winter 1989",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK11SPR1990-1","Books","Brick Kicks",1990,"BRICK KICKS Spring 1990",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK12SUM1990-1","Books","Brick Kicks",1990,"BRICK KICKS Summer 1990",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK13FAL1990-1","Books","Brick Kicks",1990,"BRICK KICKS Fall 1990",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK14WIN1990-1","Books","Brick Kicks",1990,"BRICK KICKS Winter 1990-1991",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK15SPR1991-1","Books","Brick Kicks",1991,"BRICK KICKS Spring 1991",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK16SUM1991-1","Books","Brick Kicks",1991,"BRICK KICKS Summer 1991",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK17FAL1991-1","Books","Brick Kicks",1991,"BRICK KICKS Fall 1991",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK18WIN1991-1","Books","Brick Kicks",1991,"BRICK KICKS Winter 1991 - 1992",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK19SPR1992-1","Books","Brick Kicks",1992,"BRICK KICKS Spring 1992",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK20SUM1992-1","Books","Brick Kicks",1992,"BRICK KICKS Summer 1992",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK21FAL1992-1","Books","Brick Kicks",1992,"BRICK KICKS Fall 1992",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK22WIN1992-1","Books","Brick Kicks",1992,"BRICK KICKS Winter 1992",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK23SPR1993-1","Books","Brick Kicks",1993,"BRICK KICKS Spring 1993",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK24SUM1993-1","Books","Brick Kicks",1993,"BRICK KICKS Summer 1993",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK25FAL1993-1","Books","Brick Kicks",1993,"BRICK KICKS Fall 1993",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK26WIN1993-1","Books","Brick Kicks",1993,"BRICK KICKS Winter 1993",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK27SPR1994-1","Books","Brick Kicks",1994,"BRICK KICKS Spring 1994",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK28SUM1994-1","Books","Brick Kicks",1994,"BRICK KICKS Summer 1994",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BK29FAL1994-1","Books","Brick Kicks",1994,"BRICK KICKS Fall 1994",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007029-1","Gear","Key Chains/Super Mario",2021,"Luigi Key Chain",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006489-1","Gear","Bags",2021,"Medium Azur Small Brick Backpack",,,44.99,39.99,39.99,49.99,,757894512927,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006490-1","Gear","Bags",2021,"Navy Micro Knob Bag",,,,19.99,19.99,,,757894513252,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006491-1","Gear","Bags",2021,"Crossbody Handbag Retro Logo",,,44.99,49.99,49.99,49.99,,757894513184,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006492-1","Gear","Bags",2021,"Light Purple Micro Knob Bag",,,,19.99,19.99,,,757894513245,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006493-1","Gear","Bags",2021,"Medium Azur Micro Knob Bag",,,,19.99,19.99,,,757894513238,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006494-1","Gear","Bags",2021,"Lime Green Micro Knob Bag",,,,19.99,19.99,,,757894513269,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006496-1","Gear","Bags",2021,"Lime Small Brick Backpack",,,44.99,39.99,39.99,49.99,,757894513467,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006497-1","Gear","Bags",2021,"Light Purple Small Brick Backpack",,,44.99,39.99,39.99,49.99,,757894512941,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006975-1","Gear","Role-play toys",2021,"Adult Hands Yellow",,,,14.99,14.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006495-1","Gear","Bags",2021,"Backpack Monkey",,,39.99,39.99,39.99,44.99,,757894513221,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006498-1","Gear","Bags",2021,"Backpack Panda",,,,39.99,39.99,,,757894513214,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9780241409640-1","Books","Dorling Kindersley",2020,"Disney Princess Enchanted Treasury",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854082-1","Gear","Key Chains/Minifigures",2021,"Lady Liberty Key Chain",,,4.99,5.99,7.99,5.99,,673419343466,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854111-1","Gear","Key Chains/Disney",2021,"Donald Duck Key Chain",,,4.99,5.99,7.99,5.99,,673419343473,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854112-1","Gear","Key Chains/Disney",2021,"Daisy Duck Key Chain",,,4.99,5.99,7.99,5.99,,673419343480,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854076-1","Gear","Role-play toys",2021,"Lord Garmadon's Mega Weapon",,,,19.99,26.99,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"1843-2","Space","Spyrius",1996,"{Spacecraft}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854145-1","Gear","Key Chains/Sesame Street",2021,"Elmo Key Chain",,,3.99,5.99,6.99,4.99,,673419346641,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854146-1","Gear","Key Chains/Sesame Street",2021,"Cookie Monster Key Chain",,,3.99,5.99,6.99,4.99,,673419346856,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854077-1","Gear","Key Chains/Marvel Super Heroes",2021,"Spider-Ham Key Chain",,,4.99,5.99,7.99,5.99,,673419346610,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854090-1","Gear","Key Chains/VIP Program",2021,"LEGO VIP Blue Key Chain",,,,,,,,673419343459,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006470-1","Gear","Collectable Coin",2021,"LEGO logo collectable coin",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL068-1","Books","Magazines/BrickJournal",2021,"BrickJournal Issue 68",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006328-1","Gear","Storage",2021,"4 Stud Dark Gray Storage Brick Drawer",,,27.99,27.99,30.99,31.99,5711938034290,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006329-1","Gear","Storage",2021,"8 Stud Dark Gray Storage Brick Drawer",,,44.99,44.99,48.99,49.99,5711938034306,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781780558141-1","Books","Buster Books",2021,"Build and Stick: Custom Cars",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781780558080-1","Books","Buster Books",2021,"Five-Minute Builds",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854084-1","Gear","Key Chains/Brick",2021,"2x4 White Metallic Key Chain",,,4.99,5.99,7.99,5.99,,673419346801,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854081-1","Gear","Key Chains/Minifigures",2021,"Llama Girl Key Chain",,,4.99,5.99,7.99,5.99,,673419346627,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006068-1","Gear","Housewares",2021,"Friends Central Perk Mug",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854083-1","Gear","Key Chains/Brick",2021,"2x4 Green Metallic Keyring",,,4.99,5.99,7.99,5.99,,673419346634,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006623-1","Gear","Plush",2020,"Yoda Plush",,,24.99,26.99,32.99,29.99,0011964504930,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS078-1","Books","Magazines/Blocks",2021,"Blocks magazine issue 78",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006815-1","Gear","Posters",2021,"Winnie the Pooh poster - Paths",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006814-1","Gear","Posters",2021,"Winnie the Pooh poster - Friday",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006816-1","Gear","Posters",2021,"Winnie the Pooh poster - Buddy Boys",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006817-1","Gear","Posters",2021,"Winnie the Pooh poster - Good Day",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006818-1","Gear","Posters",2021,"Winnie the Pooh poster - Hello",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006468-1","Gear","Collectable Coin",2021,"Classic Space logo collectable coin",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"TRUSWMF-2","Star Wars","Promotional",2018,"Millennium Falcon",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781797210193-1","Gear","Puzzle",2020,"Minifigure Faces Puzzle",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781797210728-1","Gear","Puzzle",2021,"Rainbow Bricks Puzzle",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781452179704-1","Gear","Puzzle",2020,"Paint Party Puzzle",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781797210186-1","Gear","Puzzle",2020,"Ice Cream Dreams Puzzle",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781452182278-1","Gear","Puzzle",2020,"Minifigure Puzzle",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6349566-1","Promotional","LEGO brand stores",2020,"Snowflake",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6349571-1","Promotional","LEGO brand stores",2021,"Chinese Lantern",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006469-1","Gear","Collectable Coin",2021,"Octan logo collectable coin",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006003-1","Gear","Posters",2019,"Australian Patent LEGO Minifigure 1977",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"WIJNEGEM-1","Promotional","LEGO brand stores",2014,"Wijnegem 1st Anniversary minifigure pack",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL067-1","Books","Magazines/BrickJournal",2021,"BrickJournal Issue 67",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"2583-1","Duplo","",1998,"Fire Truck",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854080-1","Gear","Key Chains/Minifigures",2021,"Peapod Girl Key Chain",,,3.99,5.99,6.99,4.99,,673419343138,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5005341-1","Gear","Lights",2017,"First Order Stormtrooper Light",,,13.99,,,14.99,4895028513238,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006622-1","Gear","Plush",2021,"The Child Plush",,,,26.99,32.99,,0011964507863,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006624-1","Gear","Plush",2019,"Chewbacca Plush",,,24.99,26.99,32.99,26.99,0011964504916,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006641-1","Gear","Housewares",2021,"Adidas x LEGO bottle",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854043-1","Gear","Key Chains/Minions: The Rise of Gru",2021,"Otto Key Chain",,,4.99,5.99,7.99,5.99,,673419330725,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"854071-1","Gear","Key Chains/Minions: The Rise of Gru",2021,"Stuart Key Chain",,,4.99,5.99,7.99,5.99,,673419330732,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS079-1","Books","Magazines/Blocks",2021,"Blocks magazine issue 79",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006741-1","Gear","Bags",2021,"LEGO Brick Backpack Navy",,,44.99,,,49.99,5711013090685,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006775-1","Gear","Bags",2021,"LEGO Brick Backpack Lilac",,,44.99,,,49.99,5711013090715,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BRICKJOURNAL070-1","Books","Magazines/BrickJournal",2021,"BrickJournal Issue 70",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006795-1","Gear","Posters",2021,"TROPICON Wardrobe Poster",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"21182-1","Minecraft","",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10310-1","Icons","",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"10301-1","Icons","",2022,"{?}",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006976-1","Gear","Bags",2021,"Brick Hip Pack Navy 5006976",,,24.99,24.99,27.99,29.99,,757894512231,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS085-1","Books","Magazines/Blocks",2021,"Blocks magazine issue 85",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5006202-1","Gear","Stationery",2021,"LEGO Note Brick",,,11.99,,,12.99,9781452179698,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007178-1","Gear","Stationery",2021,"Minifigure Notes 20 Notecards and Envelopes",,,14.99,15.99,,15.99,9781452182285,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007180-1","Gear","Calendars",2021,"LEGO 2022 Wall Calendar",,,12.99,,,14.99,9781797210735,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"6399471-1","Promotional","LEGO Brand Store Opening Set",2021,"Wroclaw brand store associate figure",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,51.0000,,"",""
"6394851-1","Promotional","LEGO Brand Store Opening Set",2021,"Disneytown, China brand store associate figure",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,51.7000,,"",""
"6394854-1","Promotional","LEGO Brand Store Opening Set",2021,"Shenzhen brand store associate figure",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,72.2900,,"",""
"5007224-1","Gear","Stationery",2021,"LEGO Note Brick",,,11.99,,,12.99,9781452180397,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007107-1","Gear","Housewares",2021,"Wooden Book Rack Light Oak",,,114.99,129.99,141.99,119.99,5711938249595,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007108-1","Gear","Housewares",2021,"Wooden Book Rack Dark Oak",,,129.99,149.99,163.99,139.99,5711938249601,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007109-1","Gear","Housewares",2021,"Wooden Picture Frame Light Oak",,,79.99,99.99,108.99,89.99,5711938249618,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007110-1","Gear","Housewares",2021,"Wooden Picture Frame Dark Oak",,,89.99,109.99,119.99,99.99,5711938249625,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007111-1","Gear","Housewares",2021,"Wooden Desk Drawer 8 Light Oak",,,179.99,219.99,239.99,199.99,5711938249571,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007112-1","Gear","Housewares",2021,"Wooden Wall Hanger Set Dark Oak",,,114.99,129.99,139.99,119.99,5711938249649,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007113-1","Gear","Housewares",2021,"Wooden Desk Drawer 4 Light Oak",,,119.99,139.99,152.99,129.99,5711938249557,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007114-1","Gear","Housewares",2021,"Wooden Wall Hanger Set Light Oak",,,89.99,109.99,119.99,99.99,5711938249632,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007115-1","Gear","Housewares",2021,"Wooden Desk Drawer 4 Dark Oak",,,139.99,159.99,172.99,149.99,5711938249564,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007116-1","Gear","Housewares",2021,"Wooden Desk Drawer 8 Dark Oak",,,209.99,239.99,261.99,224.99,5711938249588,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007023-1","Gear","Bedding",2021,"Fleece Blanket",,,,,,,5702017255712,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"BLOCKS086-1","Books","Magazines/Blocks",2021,"Blocks magazine issue 86",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"ISBN9781797214207-1","Gear","Puzzle",2021,"Space Stars",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"5007016-1","Gear","Tin Signs",2021,"1950's Retro Tin Sign",,,,,,,5702017247151,,30.5,15.8,0.36,0.115,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM01WIN1994-1","Books","Mania Magazine",1994,"Mania Magazine Winter 1994",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM02JAN1995-1","Books","Mania Magazine",1995,"Mania Magazine January - February 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM03MAR1995-1","Books","Mania Magazine",1995,"Mania Magazine March - April 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM04MAY1995-1","Books","Mania Magazine",1995,"Mania Magazine May - June 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM05JUL1995-1","Books","Mania Magazine",1995,"Mania Magazine July - August 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM06SEP1995-1","Books","Mania Magazine",1995,"Mania Magazine September - October 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM07NOV1995-1","Books","Mania Magazine",1995,"Mania Magazine November - December 1995",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM08JAN1996-1","Books","Mania Magazine",1996,"Mania Magazine January - February 1996",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM09MAR1996-1","Books","Mania Magazine",1996,"Mania Magazine March - April 1996",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM10MAY1996-1","Books","Mania Magazine",1996,"Mania Magazine May - June 1996",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM11JUL1996-1","Books","Mania Magazine",1996,"Mania Magazine July - August 1996",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM12SEP1996-1","Books","Mania Magazine",1996,"Mania Magazine September - October 1996",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM13NOV1996-1","Books","Mania Magazine",1996,"Mania Magazine November - December 1996",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM14JAN1997-1","Books","Mania Magazine",1997,"Mania Magazine January - February 1997",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM15MAR1997-1","Books","Mania Magazine",1997,"Mania Magazine March - April 1997",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM16MAY1997-1","Books","Mania Magazine",1997,"Mania Magazine May - June 1997",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM17JUL1997-1","Books","Mania Magazine",1997,"Mania Magazine July - August 1997",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM18SEP1997-1","Books","Mania Magazine",1997,"Mania Magazine September - October 1997",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM19NOV1997-1","Books","Mania Magazine",1997,"Mania Magazine November - December 1997",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM20JAN1998-1","Books","Mania Magazine",1998,"Mania Magazine January - February 1998",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM21MAR1998-1","Books","Mania Magazine",1998,"Mania Magazine March - April 1998",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM22MAY1998-1","Books","Mania Magazine",1998,"Mania Magazine May - June 1998",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM23JUL1998-1","Books","Mania Magazine",1998,"Mania Magazine July - August 1998",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM24SEP1998-1","Books","Mania Magazine",1998,"Mania Magazine September - October 1998",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM25NOV1998-1","Books","Mania Magazine",1998,"Mania Magazine November - December 1998",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM26JAN1999-1","Books","Mania Magazine",1999,"Mania Magazine January - February 1999",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM27MAR1999-1","Books","Mania Magazine",1999,"Mania Magazine March - April 1999",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM28MAY1999-1","Books","Mania Magazine",1999,"Mania Magazine May - June 1999",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM29JUL1999-1","Books","Mania Magazine",1999,"Mania Magazine July - August 1999",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM30SEP1999-1","Books","Mania Magazine",1999,"Mania Magazine September - October 1999",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM31NOV1999-1","Books","Mania Magazine",1999,"Mania Magazine November - December 1999",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM32JAN2000-1","Books","Mania Magazine",2000,"Mania Magazine January - February 2000",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM33MAR2000-1","Books","Mania Magazine",2000,"Mania Magazine March - April 2000",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM34MAY2000-1","Books","Mania Magazine",2000,"Mania Magazine May - June 2000",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM35JUL2000-1","Books","Mania Magazine",2000,"Mania Magazine July - August 2000",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM36SEP2000-1","Books","Mania Magazine",2000,"Mania Magazine September - October 2000",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM37NOV2000-1","Books","Mania Magazine",2000,"Mania Magazine November - December 2000",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM38JAN2001-1","Books","Mania Magazine",2001,"Mania Magazine January - February 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM39MAR2001-1","Books","Mania Magazine",2001,"Mania Magazine March - April 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM40MAY2001-1","Books","Mania Magazine",2001,"Mania Magazine May - June 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM41JUL2001-1","Books","Mania Magazine",2001,"Mania Magazine July - August 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM42SEP2001-1","Books","Mania Magazine",2001,"Mania Magazine September - October 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM43NOV2001-1","Books","Mania Magazine",2001,"Mania Magazine November - December 2001",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM44JAN2002-1","Books","Mania Magazine",2002,"Mania Magazine January - February 2002",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
"MM45MAR2002-1","Books","Mania Magazine",2002,"Mania Magazine March - April 2002",,,,,,,,,,,,,"",0,0,0,,0,0,,,,,,,,,,,"",""
